id,name,lng,lat,tag,created_at,updated_at
162,"Sankt Annæ Gade, 29",12.594048,55.672792,0,2019-05-31 15:55:05.969894,2019-05-31 15:55:05.969894
163,"Christianshavns Voldgade, 63",12.59761,55.672116,0,2019-05-31 15:55:05.976197,2019-05-31 15:55:05.976197
164,Mein Standort,12.602036,55.673349,0,2019-05-31 15:55:05.983415,2019-05-31 15:55:05.983415
165,"Nordområdet, 200",12.605461,55.674915,0,2019-05-31 15:55:05.989993,2019-05-31 15:55:05.989993
166,Bremerholm,12.58305,55.678779,0,2019-05-31 15:55:05.996812,2019-05-31 15:55:05.996812
167,Garten,12.576956,55.678881,0,2019-05-31 15:55:06.010244,2019-05-31 15:55:06.010244
168,Palmenhaus,12.572963,55.687508,0,2019-05-31 15:55:06.018034,2019-05-31 15:55:06.018034
169,Königsgarten,12.58138,55.683877,0,2019-05-31 15:55:06.025249,2019-05-31 15:55:06.025249
170,"Kiebitzstraße, 9",10.040301,53.564356,0,2019-05-31 15:55:06.032331,2019-05-31 15:55:06.032331
171,mindmatters,9.9600253,53.562581,0,2019-05-31 15:55:06.039387,2019-05-31 15:55:06.039387
172,IKEA Hamburg-Altona,9.9416508,53.551388,0,2019-05-31 15:55:06.047889,2019-05-31 15:55:06.047889
173,Gertigstraße,10.011671,53.58148,0,2019-05-31 15:55:06.05768,2019-05-31 15:55:06.05768
174,"Riesserstraße, 10",10.047033,53.562191,0,2019-05-31 15:55:06.065841,2019-05-31 15:55:06.065841
175,"ABC-Straße, 21",9.9854486,53.553878,0,2019-05-31 15:55:06.071731,2019-05-31 15:55:06.071731
176,Sternschanze (Messe),9.9691716,53.564227,0,2019-05-31 15:55:06.078421,2019-05-31 15:55:06.078421
177,Strandgut Resort,8.6050108,54.315115,0,2019-05-31 15:55:06.08481,2019-05-31 15:55:06.08481
178,"Lurup, 13a/b",9.7274402,53.456425,0,2019-05-31 15:55:06.09116,2019-05-31 15:55:06.09116
179,Arkadenhaus - Hotel Freiherr von Schwarzenberg,7.3946399,53.078644,0,2019-05-31 15:55:06.097759,2019-05-31 15:55:06.097759
180,Napoli,6.5585014,53.216688,0,2019-05-31 15:55:06.104185,2019-05-31 15:55:06.104185
181,"Zwanestraat, 26a",6.5636915,53.218156,0,2019-05-31 15:55:06.110848,2019-05-31 15:55:06.110848
182,Folkingestraat,6.564933,53.21539,0,2019-05-31 15:55:06.117417,2019-05-31 15:55:06.117417
183,Frietwinkel,6.5651346,53.214909,0,2019-05-31 15:55:06.124327,2019-05-31 15:55:06.124327
184,Unbekannter Ort,6.567687,53.218627,0,2019-05-31 15:55:06.13246,2019-05-31 15:55:06.13246
185,Albert Heijn,6.5637237,53.216829,0,2019-05-31 15:55:06.138925,2019-05-31 15:55:06.138925
186,Albert Heijn,6.5606418,53.216475,0,2019-05-31 15:55:06.145333,2019-05-31 15:55:06.145333
187,Oude Ebbingestraat,6.5654738,53.22183,0,2019-05-31 15:55:06.153265,2019-05-31 15:55:06.153265
188,Het Heerenhuis,6.5640429,53.222022,0,2019-05-31 15:55:06.15939,2019-05-31 15:55:06.15939
189,Wald,6.558704,53.226972,0,2019-05-31 15:55:06.165782,2019-05-31 15:55:06.165782
190,Noorderplantsoen,6.557334,53.226138,0,2019-05-31 15:55:06.171706,2019-05-31 15:55:06.171706
191,Springbrunnen,6.5553472,53.223512,0,2019-05-31 15:55:06.178501,2019-05-31 15:55:06.178501
192,Student Hotel,6.56584,53.22368,0,2019-05-31 15:55:06.186111,2019-05-31 15:55:06.186111
193,Parkbank,6.5579757,53.21871,0,2019-05-31 15:55:06.1922,2019-05-31 15:55:06.1922
194,Lopende Diep,6.5614096,53.220707,0,2019-05-31 15:55:06.199426,2019-05-31 15:55:06.199426
195,Noorderhaven,6.5574524,53.219305,0,2019-05-31 15:55:06.206292,2019-05-31 15:55:06.206292
196,Violenstraat,6.5596169,53.224076,0,2019-05-31 15:55:06.21362,2019-05-31 15:55:06.21362
197,Unbekannter Ort,0.11038078,52.21658,0,2019-05-31 15:55:06.22096,2019-05-31 15:55:06.22096
198,King's College Chapel,0.11654215,52.204783,0,2019-05-31 15:55:06.227481,2019-05-31 15:55:06.227481
199,Sir Isaac Newton,0.11209102,52.213454,0,2019-05-31 15:55:06.234345,2019-05-31 15:55:06.234345
200,Park,0.1144916,52.212271,0,2019-05-31 15:55:06.240173,2019-05-31 15:55:06.240173
201,Fluss,0.11653679,52.209836,0,2019-05-31 15:55:06.246396,2019-05-31 15:55:06.246396
202,Round Church Corner,0.11859806,52.20844,0,2019-05-31 15:55:06.254662,2019-05-31 15:55:06.254662
203,Weg,0.11430686,52.199168,0,2019-05-31 15:55:06.261503,2019-05-31 15:55:06.261503
204,Tatties,0.12123199,52.206913,0,2019-05-31 15:55:06.273643,2019-05-31 15:55:06.273643
205,Cambridge Rules,0.13053121,52.202437,0,2019-05-31 15:55:06.282059,2019-05-31 15:55:06.282059
206,Straße,0.1250072,52.201881,0,2019-05-31 15:55:06.290091,2019-05-31 15:55:06.290091
207,Anglia Ruskin University (Cambridge Campus),0.13299951,52.204207,0,2019-05-31 15:55:06.297368,2019-05-31 15:55:06.297368
208,Weg,0.131531,52.206719,0,2019-05-31 15:55:06.30487,2019-05-31 15:55:06.30487
209,Orchard Street,0.12841294,52.205449,0,2019-05-31 15:55:06.312128,2019-05-31 15:55:06.312128
210,The Regal,0.12374522,52.20294,0,2019-05-31 15:55:06.319988,2019-05-31 15:55:06.319988
211,Downing Street,0.12151396,52.203043,0,2019-05-31 15:55:06.327598,2019-05-31 15:55:06.327598
212,Unbekannter Ort,0.13571827,52.187594,0,2019-05-31 15:55:06.34467,2019-05-31 15:55:06.34467
213,John Lewis,0.12264552,52.203691,0,2019-05-31 15:55:06.352179,2019-05-31 15:55:06.352179
214,Marks & Spencer,0.11982517,52.205575,0,2019-05-31 15:55:06.360577,2019-05-31 15:55:06.360577
215,Corpus Clock,0.11764588,52.203755,0,2019-05-31 15:55:06.36775,2019-05-31 15:55:06.36775
216,River Cam,0.11598324,52.209398,0,2019-05-31 15:55:06.375961,2019-05-31 15:55:06.375961
217,Bahnhof,0.13726624,52.194042,0,2019-05-31 15:55:06.385741,2019-05-31 15:55:06.385741
218,Hotel Motel One Staatsoper,16.367788,48.201734,0,2019-05-31 15:55:06.392755,2019-05-31 15:55:06.392755
219,ARCOTEL Wimberger,16.338375,48.200634,0,2019-05-31 15:55:06.405033,2019-05-31 15:55:06.405033
220,Motel One Wien Westbahnhof,16.337954,48.197336,0,2019-05-31 15:55:06.413151,2019-05-31 15:55:06.413151
221,Schloss Schönbrunn,16.312303,48.18496,0,2019-05-31 15:55:06.421692,2019-05-31 15:55:06.421692
222,Oberes Belvedere,16.380902,48.191537,0,2019-05-31 15:55:06.431359,2019-05-31 15:55:06.431359
223,Zentralfriedhof 2. Tor,16.441583,48.154658,0,2019-05-31 15:55:06.439303,2019-05-31 15:55:06.439303
224,Eis-Greissler,16.356683,48.200362,0,2019-05-31 15:55:06.45046,2019-05-31 15:55:06.45046
225,Prater Dome,16.397405,48.217408,0,2019-05-31 15:55:06.457506,2019-05-31 15:55:06.457506
226,Karlskirche,16.371807,48.19828,0,2019-05-31 15:55:06.46533,2019-05-31 15:55:06.46533
227,Schönbrunn,16.315387,48.184661,0,2019-05-31 15:55:06.471861,2019-05-31 15:55:06.471861
228,Sybillengrotte,16.316056,48.180014,0,2019-05-31 15:55:06.482206,2019-05-31 15:55:06.482206
229,Najadenbassin,16.314168,48.182306,0,2019-05-31 15:55:06.490013,2019-05-31 15:55:06.490013
230,Römische Ruine,16.313465,48.180781,0,2019-05-31 15:55:06.49778,2019-05-31 15:55:06.49778
231,Neptunbrunnen,16.310426,48.181444,0,2019-05-31 15:55:06.508561,2019-05-31 15:55:06.508561
232,Schönbrunn,16.309287,48.179393,0,2019-05-31 15:55:06.514464,2019-05-31 15:55:06.514464
233,Straße,16.30788,48.178496,0,2019-05-31 15:55:06.521383,2019-05-31 15:55:06.521383
234,Najadenbassin,16.308315,48.183715,0,2019-05-31 15:55:06.527698,2019-05-31 15:55:06.527698
235,Grasdecke,16.306259,48.184208,0,2019-05-31 15:55:06.534951,2019-05-31 15:55:06.534951
236,Kammergarten,16.310578,48.185449,0,2019-05-31 15:55:06.540987,2019-05-31 15:55:06.540987
237,Palmenhaus,16.302904,48.184216,0,2019-05-31 15:55:06.546731,2019-05-31 15:55:06.546731
238,Aequatorial-Sonnenuhr,16.303527,48.185357,0,2019-05-31 15:55:06.553897,2019-05-31 15:55:06.553897
239,Billa Corso,16.37205,48.2023,0,2019-05-31 15:55:06.56049,2019-05-31 15:55:06.56049
240,Albertina,16.36826,48.204637,0,2019-05-31 15:55:06.567284,2019-05-31 15:55:06.567284
241,La Cure Gourmande,16.370113,48.205407,0,2019-05-31 15:55:06.574749,2019-05-31 15:55:06.574749
242,Pestsäule,16.369794,48.208712,0,2019-05-31 15:55:06.581119,2019-05-31 15:55:06.581119
243,Franz Joseph I,16.365961,48.203825,0,2019-05-31 15:55:06.587499,2019-05-31 15:55:06.587499
244,Augustinerbastei,16.367087,48.205258,0,2019-05-31 15:55:06.594537,2019-05-31 15:55:06.594537
245,Burgtor,16.362694,48.205651,0,2019-05-31 15:55:06.601674,2019-05-31 15:55:06.601674
246,Eingang,16.364719,48.205563,0,2019-05-31 15:55:06.608955,2019-05-31 15:55:06.608955
247,Kaiser Franz II./I.,16.365036,48.20756,0,2019-05-31 15:55:06.619669,2019-05-31 15:55:06.619669
248,Michaelerplatz,16.366544,48.207739,0,2019-05-31 15:55:06.631734,2019-05-31 15:55:06.631734
